license_no,company,state,postcode,phone,license_year,osa_code
MALLI20240873,OZE MARKETING SDN. BHD.,W.P. Kuala Lumpur,52200,03- 6275 2020,2024,56269
MALLI20241009A,POLYLAB BIOTECH SDN. BHD.,W.P. Kuala Lumpur,56100,03-91309721,2024,4386
MALLI20240120,HERBALIFE PRODUCTS MALAYSIA SDN BHD,W.P. Kuala Lumpur,50200,016-5212677,2024,56232
MALLI20240804,AYUR CENTRE SDN. BHD.,Selangor,46200,03-7954 2899,2024,75827
MALLI20240195,Biofizz Marketing Sdn Bhd,Perak,30100,,2024,1310789
MALLI20241906A,Hipra Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,50480,0364199750,2024,1319808
MALLI20241276A,JOHNSON & JOHNSON SDN. BHD.,Selangor,46150,03-76614500,2024,1000102
MALLI20240049A,Duopharma Marketing Sdn. Bhd.,Selangor,43650,03-89242188,2024,1134449
MALLI20241354A,AETOS PHARMA SDN BHD,W.P. Kuala Lumpur,56000,,2024,1273377
MALLI20240466A,DELFI MARKETING SDN.BHD.,Selangor,47650,03-5123 3300,2024,56258
MALLI20241576A,CAMBER LABORATORIES SDN. BHD.,W.P. Kuala Lumpur,59200,0379320203,2024,1135022
MALLI20241833,AVETECH HEALTHCARE SDN. BHD.,Selangor,47301,,2024,1319090
MALLI20240033,DUPLEX HEALTHCARE SDN. BHD.,Perak,31350,052150088,2024,1156616
MALLI20240330,NGL TRADING SDN BHD,W.P. Kuala Lumpur,51200,60327130260,2024,1150236
MALLI20241534,Dong Foong Manufacturing Sdn Bhd,Selangor,43000,0387415657,2024,1111535
MALLI20240317A,FIRST PHARMACEUTICAL SDN. BHD.,Selangor,47500,0356340669,2024,55832
MALLI20241280,HERBS PHARMA SDN BHD,Selangor,46150,603-7785 0332/313,2024,1144603
MALLI20240819A,Prima Inter-chem Sdn. Bhd.,Selangor,40460,603-57406060,2024,1041317
MALLI20240825,Carepro Marketing Sdn. Bhd.,Selangor,47100,0358889397,2024,1149355
MALLI20240957A,Age D`or Sdn. Bhd.,Selangor,40460,0351217212,2024,932969
MALLI20240129A,GRIFOLS MALAYSIA SDN. BHD.,Selangor,47800,03 7666 5103,2024,1204258
MALLI20240510A,Panfast Marketing (m) Sdn Bhd,Pulau Pinang,14100,04-5016868,2024,1107237
MALLI20241608,J.D. ACADEMY,Sarawak,96000,084335891,2024,1130842
MALLI20240622,KUALA LUMPUR PHARMACY (W.O.) SDN. BHD.,W.P. Kuala Lumpur,52100,,2024,1271599
MALLI20241953,DIVERSIFIED TEAM SDN. BHD.,W.P. Kuala Lumpur,56100,,2024,1319484
MALLI20240026,TAKARIA (M) SDN BHD,W.P. Kuala Lumpur,58200,03-79823536,2024,1033573
MALLI20241273,DOUBLE STRENGTH SDN. BHD.,Selangor,40160,,2024,1316599
MALLI20240412A,Zoetis Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,59200,0322812800,2024,953266
MALLI20241578,PLANTBIO RESEARCH SDN. BHD.,Perak,34600,,2024,1309425
MALLI20241215,TIANYI SEM MARKETING,Negeri Sembilan,70300,,2024,943633
MALLI20240409,WENG SENG HENG MEDICAL HALL SDN. BHD.,Pulau Pinang,10300,04-2616428,2024,55846
MALLI20241415,ESSENTIAL IMAGE SDN. BHD.,Selangor,47810,03-6140 1137,2024,1132486
MALLI20240316A,Sunzen Corporation Sdn Bhd,Selangor,40460,60351218998,2024,1117784
MALLI20240905,ELEGANT WORLD (M) SDN. BHD.,Selangor,47620,03-80210088,2024,1158516
MALLI20241071,SOON SIN LEONG (M) SDN. BHD.,Johor,81100,073610207,2024,939000
MALLI20240169A,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,Selangor,47301,0376116899,2024,1128025
MALLI20240628A,QUANTARAD TECHNOLOGIES SDN BHD,Selangor,47301,0378316279,2024,1130774
MALLI20240139,SEANG WAN TRADING CO SDN BHD,Pulau Pinang,14100,04-5018111,2024,1033532
MALLI20241859A,ATLANTIC LABORATORIES (M) SDN. BHD.,Selangor,40460,,2024,1320489
MALLI20240807,KAHONG SDN. BHD.,Sarawak,93450,082-4119912,2024,1146578
MALLI20240067,VITA LIFESCIENCES SDN. BHD.,Selangor,40150,0355696323,2024,1112064
MALLI20240517A,SUMITOMO PHARMA MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,50470,,2024,1205198
MALLI20241665A,Medi Radio Malaysia Sdn Bhd,W.P. Kuala Lumpur,50480,,2024,1316459
MALLI20241923A,MEDHUB PHARMA BERHAD,Selangor,68100,,2024,1321112
MALLI20240027,Leung Kai Fook Medical Sdn. Bhd.,Johor,80350,072668088,2024,1033688
MALLI20240329A,"THE ZYFAS MEDICAL CO.,",Johor,81100,07-3544766,2024,55825
MALLI20241570,Sunwish Merchant Sdn Bhd,Perak,31400,,2024,1105935
MALLI20240328,BIO MODERN HERBS SDN. BHD.,Johor,81100,0103913451,2024,1188158
MALLI20241281A,Borneosew Medical Trading (M) Sdn Bhd,Selangor,47500,0356340772,2024,1041330
MALLI20240320,BIONION SDN BHD,Selangor,40460,03-5879 7707,2024,954221
MALLI20240824,NANG HIN MEDICAL SDN. BHD.,Selangor,47100,"03-58826113, 03-58826123",2024,1204018
MALLI20240970,MORINDA (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,58200,,2024,1269503
MALLI20240136,IME INTERNATIONAL SDN. BHD.,Selangor,47300,03-76217261,2024,1136481
MALLI20241637,Superb Health Care Sdn Bhd,Sabah,88450,088448989,2024,1110648
MALLI20240464A,Gladron Chemicals Sdn Bhd,Selangor,40400,603 - 51918989,2024,11819
MALLI20241709,SOS COSMECEUTICAL SDN. BHD.,W.P. Kuala Lumpur,50480,,2024,1271052
MALLI20240963,HWH MALAYSIA SDN. BHD.,Selangor,46200,0379318163,2024,1109814
MALLI20241954,ORGANICULE LIFE VENTURES SDN. BHD.,W.P. Kuala Lumpur,59200,,2024,1183729
MALLI20240025A,PHARMAFORTE (MALAYSIA) SDN. BHD.,Selangor,47810,03-78036998,2024,55807
MALLI20241962,GCOOP MALAYSIA SDN. BHD.,Selangor,47100,,2024,1322102
MALLI20240073A,ALATAN TEKNOLOGI SDN. BHD.,W.P. Kuala Lumpur,60000,03-77286732,2024,1033555
MALLI20241271,Herbion Sdn. Bhd.,Selangor,47301,03-56382024,2024,955726
MALLI20240457A,Ritma Prestasi Sdn Bhd,Selangor,47120,+60380669010,2024,1141171
MALLI20241472A,CELLTRION HEALTHCARE MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,59200,+82328506576,2024,1131142
MALLI20240255,LIFECARE ESSENTIAL SDN. BHD.,Selangor,40150,03-78469208,2024,10700
MALLI20240956,MB NUTRACEUTICALS SDN BHD,W.P. Kuala Lumpur,52200,03-62803823,2024,1117869
MALLI20241067A,GERMAX SDN. BHD.,Selangor,47810,03-78801318,2024,56101
MALLI20240809A,MERCK SHARP & DOHME (MALAYSIA) SDN. BHD.,Selangor,47301,03-74991600,2024,55814
MALLI20240196A,JNTL (MALAYSIA) SDN. BHD.,Selangor,46050,,2024,1271665
MALLI20241834A,Wellesta Healthcare Sdn. Bhd.,Selangor,47820,,2024,1206109
MALLI20241007A,HEALOL PHARMACEUTICALS SDN. BHD.,W.P. Kuala Lumpur,53300,41427106,2024,55913
MALLI20240048A,MILRIN PHARMACEUTICAL CO. (M) SDN. BHD.,Pulau Pinang,10400,"604-2288644,604-2286741,604-2286042",2024,55827
MALLI20240877A,AVERROES PHARMACEUTICALS SDN. BHD.,Selangor,40100,03 55111433,2024,55994
MALLI20241575A,FTA Healthcare Sdn. Bhd.,Selangor,47301,0376221868,2024,1138058
MALLI20240867,HAI-O MEDICINE SDN. BHD.,Selangor,41400,03-33436458,2024,605
MALLI20241886A,PETS CORNER SDN BHD,W.P. Kuala Lumpur,52100,,2024,1192095
MALLI20240021,CAMBERT(M) SDN. BHD.,Selangor,47500,03-5638 3660,2024,55888
MALLI20241012A,Transmedic Healthcare Sdn. Bhd.,W.P. Kuala Lumpur,50480,603-62053888,2024,56216
MALLI20241272,KOBAYASHI Healthcare (Malaysia) Sdn. Bhd.,W.P. Kuala Lumpur,50490,03-20117702,2024,1129442
MALLI20240448,MegaLive BioSciences Sdn Bhd,Kedah,09000,04-491 8168,2024,92067
MALLI20241408,K-LINK INTERNATIONAL SDN. BHD.,W.P. Kuala Lumpur,58200,03-7948 2333,2024,56090
MALLI20240212,Shenlu Biotech Sdn Bhd,Negeri Sembilan,71800,06-7971629,2024,942507
MALLI20240910,Naturally Plus Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,50100,03-27830000,2024,75955
MALLI20240961A,PET ARCADE SDN BHD,Selangor,47100,0380600387,2024,1131777
MALLI20240147,Desaku Trading,Selangor,45200,0332248721,2024,11782
MALLI20240582A,DUOPHARMA (M) SDN. BHD.,Selangor,41200,03-33231368,2024,1033635
MALLI20240122A,J. BIO MEDIC MARKETING SDN. BHD.,Sarawak,93300,082-484350,2024,76075
MALLI20241676,BOSTON SANTE SDN. BHD.,W.P. Kuala Lumpur,50480,,2024,1205981
MALLI20240874A,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.,Melaka,75250,06-3351515,2024,656
MALLI20240634,LEONG FATT CO SDN BHD,Pulau Pinang,10400,04-2287481,2024,1033601
MALLI20240126,San Jiu Bio-Pharma Sdn. Bhd.,Perak,31900,0125628686,2024,1156019
MALLI20241679,Yo Ho Lifestyle Sdn Bhd,Selangor,42000,,2024,1272931
MALLI20240808A,ALCON LABORATORIES (MALAYSIA) SDN. BHD.,Selangor,46200,+6(03)-27826888,2024,1034931
MALLI20240022A,Yenher Agro-products Sdn. Bhd.,Pulau Pinang,14100,604-5880887,2024,1127621
MALLI20241236A,MYLAN HEALTHCARE SDN. BHD.,Selangor,47400,03-7733 8005,2024,1205465
MALLI20240455,TWINS HEALTHCARE PRODUCT,Pulau Pinang,10300,042615264,2024,1033708
MALLI20241466,Luye Pharma (Malaysia) Sdn. Bhd.,Selangor,47600,0380207699,2024,1113921
MALLI20241564,DSAB Holdings Sdn Bhd,W.P. Kuala Lumpur,59100,,2024,1181862
MALLI20240310,BE INTERNATIONAL SDN BHD,W.P. Kuala Lumpur,57000,03-86058500 EXT 60200,2024,1142723
MALLI20240962A,Agritech Enterprise Sdn. Bhd.,Selangor,47810,03-61436328,2024,1041320
MALLI20241066,Phri Bio-Tech Sdn Bhd,Pulau Pinang,11700,04-6552233,2024,1119777
MALLI20240577,AQURATE INGREDIENTS INTL (M) SDN. BHD.,Selangor,43200,60390758000,2024,938696
MALLI20240200A,PROPHARM (M) SDN. BHD.,W.P. Kuala Lumpur,51200,03-62436389,2024,726
MALLI20240827,Pro Health Medics Sdn. Bhd.,Selangor,47630,03-80233770,2024,1033703
MALLI20241410,DERMASUNG SDN BHD,W.P. Kuala Lumpur,50480,0362119621,2024,1154757
MALLI20241282A,VIATRIS SDN. BHD.,Selangor,47400,03-7733 8005,2024,1192911
MALLI20240540A,F.E. VENTURE SDN. BHD.,Selangor,46150,03-56333493,2024,1041321
MALLI20241574,EsperMed Sdn Bhd,Pulau Pinang,10350,,2024,1149107
MALLI20240810,LIONE LABORATORIES SDN BHD,W.P. Kuala Lumpur,58200,+603-7772 7676,2024,1109599
MALLI20241905A,GoodScience Sdn. Bhd.,Selangor,48020,03-60343883,2024,1125925
MALLI20240031,Enagic (Malaysia) Sdn Bhd,W.P. Kuala Lumpur,59200,0322822332,2024,1118568
MALLI20240311,YUE FONG (M) SDN. BHD.,W.P. Kuala Lumpur,58200,0377823740,2024,55862
MALLI20241115A,LUEN WAH MEDICAL CO. SDN. BHD.,Selangor,46050,03-77855510 / 0166612680,2024,1127454
MALLI20241469,TOTAL IMAGE REGIONAL (M) SDN. BHD.,W.P. Kuala Lumpur,58000,0322761366,2024,1145137
MALLI20241317,PEMBEKALAN UBAT HUATHAI SDN. BHD.,Johor,81200,07-2377353,2024,55850
MALLI20240581,PASIR MAS-INDO TRADING SDN. BHD.,Johor,81300,07-5581737,2024,55927
MALLI20240876,Vital & Living Pharmacy Sdn Bhd,W.P. Kuala Lumpur,50480,03-6206 2450,2024,1132566
MALLI20240967A,UBISSON SDN BHD,Sarawak,96000,,2024,1141617
MALLI20240504,LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,56100,603-9200 2368,2024,484
MALLI20241039,TS GLOBAL DISTRIBUTION SDN. BHD.,W.P. Kuala Lumpur,57000,,2024,1310885
MALLI20241038A,TERAJU PHARMA SDN BHD,Selangor,41050,,2024,1271258
MALLI20240574,New Bo Lin Biotech Sdn Bhd,Negeri Sembilan,70300,03-21188688,2024,1131994
MALLI20240233A,Hisamitsu Pharmaceutical Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,59200,03-22420270,2024,1178999
MALLI20241739,FARMACO HEALTHCARE SDN. BHD.,Selangor,47500,+601112218287,2024,1127920
MALLI20240698,EXTEND MY NETWORK INTL SDN. BHD.,Johor,81300,,2024,1123483
MALLI20240019,Spring Pharma Sdn Bhd,Sabah,91000,089-771089,2024,1113696
MALLI20241218,Alpha Bio Medic (M) Sdn Bhd,W.P. Kuala Lumpur,51200,03-40439001,2024,56218
MALLI20240467,HL PHARMACEUTICALS SDN. BHD.,W.P. Kuala Lumpur,51000,0340419182,2024,1126319
MALLI20241533A,Lim Seng Pharmachem Sdn Bhd,Pulau Pinang,13600,04-3805830,2024,1107252
MALLI20240141,KOTRA PHARMA (M) SDN. BHD.,Melaka,75250,06-3362222,2024,716
MALLI20240323A,THE ZYFAS PHARMA SDN. BHD.,Johor,79200,07-5581515,2024,1267052
MALLI20241237,BMI CORPORATION SDN. BHD.,Melaka,75250,06-3361116,2024,56248
MALLI20241068,Allinon Advance Technology Sdn. Bhd.,Pulau Pinang,11700,046608669,2024,1114903
MALLI20241417,Tempo Scan Pacific Malaysia Sdn.Bhd.,Selangor,47400,03-77335102,2024,942161
MALLI20240193A,KOMEDIC SDN BHD,Selangor,46150,603-56344866,2024,55951
MALLI20240871A,SUNWARD PHARMACEUTICAL SDN. BHD.,Johor,81200,07-2367531,2024,1033417
MALLI20241124,Infinitus International (Malaysia) Sdn Bhd,Selangor,47170,0380791828,2024,76079
MALLI20240911,ROSLIND ENTERPRISE (M) SDN. BHD.,Selangor,47130,,2024,1206040
MALLI20240537A,ORGANON MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,59200,+603-2386 2000,2024,1033427
MALLI20241569A,Alpha Vet Sdn Bhd,Selangor,47600,+6012-2810502,2024,1138266
MALLI20240631,NEWAGE SDN. BHD.,Selangor,40300,03-5542 8483,2024,55881
MALLI20241927,HENDA NATURAL SDN BHD,Selangor,41200,0166662582,2024,1138567
MALLI20240029,NHTC WELLNESS PRODUCTS MALAYSIA SDN BHD,W.P. Kuala Lumpur,59200,03-27031029,2024,1158292
MALLI20240452A,DYNAPHARM (M) SDN. BHD.,Pulau Pinang,13600,04-3904092,2024,56148
MALLI20241226A,PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.,Selangor,47810,03-77243333,2024,34
MALLI20240410,HAI-O ENTERPRISE BERHAD,Selangor,41400,03-33423322/sua swee poh ext. 527,2024,551
MALLI20241468A,Yeam Heng Trading Co.,Pulau Pinang,14000,04-5395928,2024,1118502
MALLI20240227A,Nano Medic Care Sdn. Bhd.,Johor,84000,06-9513111,2024,952671
MALLI20240869A,KM Vet Pharm Sdn. Bhd.,Selangor,68100,"03-61877155,61877191,61870160",2024,1118500
MALLI20240264A,Vemedim Sdn Bhd,Selangor,47600,03-80247118,2024,1041333
MALLI20241353A,FRESENIUS MEDICAL CARE MALAYSIA SDN. BHD.,Selangor,46100,0379579866,2024,55977
MALLI20241003,GT HEALTHCARE SDN. BHD.,Selangor,47301,,2024,1179634
MALLI20240140,YAT MING MEDICINE SDN. BHD.,Johor,81200,07-2371115,2024,73106
MALLI20240572A,N.a.m. Trading (ipoh) Sdn Bhd,Perak,31400,605-5462813,2024,1041319
MALLI20240257A,SANOFI-AVENTIS (MALAYSIA) SDN. BHD.,Selangor,46200,03-76510800,2024,55802
MALLI20241813,Wellness Concept (m) Sdn Bhd,Selangor,47400,0377279999,2024,1118193
MALLI20240906A,ACTIV PHARMA SDN.BHD.,Selangor,40000,0378599829,2024,1316222
MALLI20240051A,ROCHE (MALAYSIA) SDN. BHD.,Selangor,47500,03-76285600,2024,55806
MALLI20241547,BIOLYN (M) SDN. BHD.,Selangor,43500,+60387278166,2024,4177
MALLI20240456,ANHONG TRADING SDN. BHD.,W.P. Kuala Lumpur,56000,0391300013,2024,1033403
MALLI20241545,TIAN I BIOTECH INTERNATIONAL SDN BHD,Selangor,46200,0166662582,2024,1121598
MALLI20240803,UNISON NUTRACEUTICALS SDN. BHD.,Melaka,75450,606-2321399,2024,1033497
MALLI20240326A,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,04-6440766,2024,1033445
MALLI20241117A,UNIMED SDN. BHD.,W.P. Kuala Lumpur,52200,03-62620749,2024,75547
MALLI20241242,RED MERIDIAN SDN. BHD.,W.P. Kuala Lumpur,58200,0387242911,2024,1316506
MALLI20240199,V Success Global Sdn Bhd,Johor,81100,0167235613,2024,1137314
MALLI20241010,VECTURA FERTIN PHARMA MALAYSIA SDN. BHD.,Selangor,47800,,2024,1316000
MALLI20241234,FMC GREENLAND SDN. BHD.,Selangor,47100,603-80608257,2024,73090
MALLI20241470A,My Vet Care Sdn Bhd,Selangor,43300,0179898029,2024,1109596
MALLI20241221,MEDERIS SDN. BHD.,W.P. Kuala Lumpur,50470,03-22762626,2024,1270935
MALLI20241636,WENG TEIK HENG (M) SDN BHD,Pulau Pinang,10300,04-2624828 / 04-2630828,2024,56076
MALLI20240633,NATURE SECRET (M) SDN.BHD,Selangor,68100,03-61889396,2024,1269494
MALLI20241951,Absolute Pharma Sdn Bhd,W.P. Kuala Lumpur,53300,,2024,1192388
MALLI20240028,ROHTO-MENTHOLATUM (M) SDN. BHD.,W.P. Kuala Lumpur,59200,603-22414889,2024,55848
MALLI20241406A,Galla Dental Corporation Sdn Bhd,W.P. Kuala Lumpur,52100,0362593800,2024,1116658
MALLI20241638A,PHARMANIAGA LOGISTICS SDN. BHD.,Selangor,40000,03-33429999,2024,5673
MALLI20241713,SAGGAF HERBS TRADING,W.P. Kuala Lumpur,50300,0196544918,2024,1182805
MALLI20241217,VIGORACE SDN BHD,Selangor,46050,03-79569981,2024,56161
MALLI20240693A,SPG PHARMA (MALAYSIA) SDN BHD,Selangor,47400,03-77331702,2024,1033694
MALLI20241531,BEST WORLD LIFESTYLE SDN. BHD.,W.P. Kuala Lumpur,55188,603-2119 8829,2024,1316320
MALLI20240258,VISTERN HEALTH SDN BHD,W.P. Kuala Lumpur,55100,03-21168200,2024,1132498
MALLI20240969,EXCEL HERBAL INDUSTRIES SDN. BHD.,Selangor,48000,011-10243721,2024,1132407
MALLI20241064A,MEDIDATA SDN. BHD.,Selangor,46150,03-56358780,2024,55921
MALLI20240192,MEDLEY HERBAL PRODUCTS,Selangor,47100,60122676115,2024,1033528
MALLI20240576A,DUOPHARMA HAPI SDN. BHD.,Selangor,40150,,2024,1152428
MALLI20240142,BASIC HEALTH & BEAUTY SDN BHD,W.P. Kuala Lumpur,52200,603-6272 9316,2024,55959
MALLI20241815,Nano Wellness Sdn. Bhd.,Pulau Pinang,14100,,2024,1266944
MALLI20241005,P.T MUSTIKA RATU (M) SDN. BHD.,W.P. Kuala Lumpur,56100,03-9286 1626,2024,945
MALLI20241885A,APEX PHARMACY MARKETING SDN. BHD.,Selangor,47500,03-56293688,2024,56202
MALLI20241241,UNICITY IMPORTS MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,59200,,2024,1311122
MALLI20241484,Esprit Care Sdn. Bhd.,Selangor,47100,03-80604228,2024,75887
MALLI20241632,Novamed,Johor,81100,0137521902,2024,1137075
MALLI20241860A,BREGO LIFE SCIENCES SDN. BHD,W.P. Kuala Lumpur,56100,03-91349797,2024,1206170
MALLI20240047,Avantsar Sdn Bhd,Sarawak,98007,085436969,2024,1309202
MALLI20240327,DCH CONTRACT MANUFACTURING SDN. BHD.,Selangor,40300,60355416600,2024,1129467
MALLI20241412A,EISAI (MALAYSIA) SDN. BHD.,Selangor,47400,03-77320380,2024,1142544
MALLI20240418A,JETPHARMA SDN. BHD.,Selangor,47100,03 8076 1651,2024,55958
MALLI20241278,PROBIOCARE SDN. BHD.,Sabah,88300,,2024,1120428
MALLI20240213,FOREVER LIVING PRODUCTS (M) SDN. BHD.,W.P. Kuala Lumpur,55100,392820033,2024,73095
MALLI20240870A,KIREEN PHARMACEUTICAL SDN. BHD.,Johor,81200,"07-2367531, 07-2367972, 07-2367967",2024,615
MALLI20240960A,BAYER CO. (MALAYSIA) SDN. BHD.,Selangor,47400,603-78013088,2024,1205848
MALLI20240313,WONG`S NATURE CURE CENTRE,Selangor,47301,03-76515151,2024,1115123
MALLI20240513,PharmaCare (Asia) Sdn Bhd,Selangor,46200,0374902138,2024,1154258
MALLI20241634,San-tronic Medical Devices Sdn Bhd,Selangor,46150,03-77818810,2024,931511
MALLI20240624A,Danberg (m) Sdn Bhd,Selangor,40300,+603 5548 4905,2024,1118506
MALLI20241945,Kji & Co Sdn Bhd,W.P. Kuala Lumpur,58000,,2024,1205323
MALLI20240127,MANPOWER LEADERS SDN. BHD.,Selangor,40170,0169337921,2024,1185366
